ScaleBar,,I1I3Complex,,Odontophore,,RadularStalkWidth,,Odont_with_Prow,,InternalI1I3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
664.3636363636364,615.2727272727273,834.5454545454546,481.0909090909091,439.6363636363636,223.63636363636365,381.8181818181818,460.3636363636364,487.6913946587537,203.96439169139467,803.3234421364986,447.81008902077156
917.4545454545455,615.2727272727273,855.2727272727273,168,461.4545454545455,211.63636363636365,543.2727272727273,456,515.0385756676558,199.406528189911,843.2047477744808,188.01186943620178
,,584.7272727272727,94.9090909090909,488.72727272727275,204,,,546.9436201780416,199.406528189911,590.2433234421366,108.24925816023739
,,578.1818181818182,505.0909090909091,510.54545454545456,197.45454545454547,,,573.1513353115728,198.26706231454006,614.1721068249259,463.7626112759644
,,,,537.8181818181819,195.27272727272728,,,594.8011869436202,197.12759643916914,,
,,,,558.5454545454546,195.27272727272728,,,616.4510385756677,200.54599406528192,,
,,,,584.7272727272727,196.36363636363637,,,625.566765578635,218.77744807121664,,
,,,,608.7272727272727,198.54545454545456,,,634.6824925816024,234.7299703264095,,
,,,,622.9090909090909,219.27272727272728,,,644.9376854599407,249.54302670623147,,
,,,,630.5454545454546,247.63636363636365,,,656.3323442136499,258.65875370919883,,
,,,,632.7272727272727,276,,,667.7270029673591,258.65875370919883,,
,,,,634.9090909090909,303.2727272727273,,,681.4005934718101,262.0771513353116,,
,,,,638.1818181818182,331.6363636363636,,,689.3768545994066,267.77448071216617,,
,,,,636,360,,,689.3768545994066,279.1691394658754,,
,,,,629.4545454545455,389.4545454545455,,,689.3768545994066,299.67952522255194,,
,,,,620.7272727272727,411.2727272727273,,,689.3768545994066,317.91097922848667,,
,,,,622.9090909090909,435.2727272727273,,,682.540059347181,336.1424332344214,,
,,,,622.9090909090909,449.4545454545455,,,676.8427299703264,348.6765578635015,,
,,,,603.2727272727273,456,,,664.3086053412463,360.0712166172107,,
,,,,585.8181818181819,463.6363636363637,,,648.3560830860534,378.3026706231454,,
,,,,571.6363636363636,472.3636363636364,,,638.1008902077151,395.3946587537092,,
,,,,557.4545454545455,487.6363636363637,,,630.1246290801187,407.92878338278933,,
,,,,542.1818181818182,505.0909090909091,,,623.2878338278932,415.9050445103858,,
,,,,528,519.2727272727273,,,625.566765578635,434.1364985163205,,
,,,,512.7272727272727,535.6363636363636,,,625.566765578635,442.11275964391695,,
,,,,494.1818181818182,545.4545454545455,,,622.1483679525223,454.64688427299706,,
,,,,475.6363636363637,554.1818181818182,,,603.9169139465876,462.6231454005935,,
,,,,452.72727272727275,554.1818181818182,,,590.2433234421366,472.8783382789318,,
,,,,435.2727272727273,554.1818181818182,,,573.1513353115728,481.9940652818991,,
,,,,414.54545454545456,546.5454545454546,,,553.7804154302671,489.97032640949556,,
,,,,401.4545454545455,533.4545454545455,,,541.246290801187,500.22551928783383,,
,,,,389.4545454545455,510.54545454545456,,,528.7121661721069,516.1780415430268,,
,,,,376.3636363636364,475.6363636363637,,,508.2017804154303,530.9910979228487,,
,,,,367.6363636363636,435.2727272727273,,,486.55192878338283,543.5252225519288,,
,,,,365.4545454545455,401.4545454545455,,,462.6231454005935,550.3620178041543,,
,,,,363.2727272727273,367.6363636363636,,,439.8338278931751,550.3620178041543,,
,,,,368.72727272727275,344.72727272727275,,,412.486646884273,542.3857566765579,,
,,,,372,315.2727272727273,,,394.2551928783383,524.1543026706232,,
,,,,380.72727272727275,283.6363636363636,,,385.13946587537095,496.8071216617211,,
,,,,393.8181818181818,258.54545454545456,,,373.7448071216617,459.2047477744807,,
,,,,413.4545454545455,241.0909090909091,,,368.0474777448071,423.8813056379822,,
,,,,,,,,368.0474777448071,388.5578635014837,,
,,,,,,,,366.9080118694362,353.23442136498517,,
,,,,,,,,371.4658753709199,322.46884272997033,,
,,,,,,,,378.3026706231454,292.84272997032645,,
,,,,,,,,388.5578635014837,263.2166172106825,,
,,,,,,,,409.0682492581603,242.70623145400594,,
,,,,,,,,436.41543026706233,222.1958456973294,,
,,,,,,,,459.2047477744807,210.8011869436202,,
