Swallow1,,Swallow2,,Swallow3,
X,Y,X,Y,X,Y
-20.446428571428562,3.240963855421686,-14.702380952380947,3.939759036144578,-0.9226190476190439,5.8192771084337345
-20.267857142857135,3.240963855421686,-14.553571428571422,3.9638554216867465,-0.773809523809522,5.795180722891566
-20.059523809523803,3.216867469879518,-14.374999999999995,3.9879518072289155,-0.5952380952380949,5.8192771084337345
-19.851190476190467,3.216867469879518,-14.196428571428566,4.0120481927710845,-0.4166666666666643,5.843373493975903
-19.642857142857135,3.192771084337349,-13.958333333333329,4.0120481927710845,-0.20833333333333215,5.843373493975903
-19.464285714285708,3.192771084337349,-13.72023809523809,4.0120481927710845,-0.08928571428571175,5.891566265060241
-19.255952380952372,3.16867469879518,-13.511904761904756,4.0120481927710845,0.05952380952381375,5.891566265060241
-19.04761904761904,3.144578313253012,-13.363095238095232,3.9879518072289155,0.297619047619051,5.891566265060241
-18.839285714285708,3.144578313253012,-13.184523809523803,3.9638554216867465,0.44642857142857295,5.891566265060241
-18.690476190476183,3.096385542168674,-13.035714285714281,3.939759036144578,0.625,5.891566265060241
-18.511904761904756,3.048192771084337,-12.886904761904756,3.939759036144578,0.7440476190476204,5.843373493975903
-18.303571428571423,2.975903614457831,-12.738095238095234,4.0361445783132535,0.8928571428571423,5.843373493975903
-18.124999999999993,2.975903614457831,-12.589285714285708,4.132530120481928,1.0119047619047628,5.843373493975903
-17.946428571428566,2.975903614457831,-12.470238095238091,4.253012048192771,1.1607142857142883,5.867469879518072
-17.827380952380945,3.024096385542168,-12.321428571428566,4.349397590361446,1.279761904761905,5.9156626506024095
-17.70833333333333,3.120481927710843,-12.142857142857137,4.46987951807229,1.4285714285714306,5.9156626506024095
-17.529761904761898,3.216867469879518,-11.994047619047613,4.566265060240964,1.4880952380952408,6.0602409638554215
-17.351190476190467,3.337349397590361,-11.84523809523809,4.686746987951807,1.6071428571428577,6.1807228915662655
-17.23214285714285,3.4096385542168672,-11.755952380952376,4.80722891566265,1.696428571428573,6.301204819277109
-17.08333333333333,3.457831325301205,-11.696428571428566,4.879518072289157,1.845238095238095,6.445783132530121
-16.934523809523803,3.5060240963855422,-11.577380952380947,4.951807228915662,1.9642857142857153,6.542168674698795
-16.785714285714278,3.6265060240963853,-11.428571428571423,5.048192771084338,2.142857142857146,6.63855421686747
-16.60714285714285,3.7710843373493974,-11.2797619047619,5.120481927710843,2.321428571428573,6.710843373493976
-16.488095238095234,3.8433734939759034,-11.130952380952376,5.265060240963855,2.470238095238095,6.783132530120482
-16.369047619047613,3.939759036144578,-10.922619047619044,5.313253012048193,2.6488095238095255,6.807228915662651
-16.160714285714278,3.9638554216867465,-10.684523809523805,5.385542168674698,2.797619047619051,6.807228915662651
-15.922619047619042,3.939759036144578,-10.416666666666663,5.385542168674698,2.946428571428573,6.783132530120482
-15.714285714285708,3.939759036144578,-10.178571428571425,5.385542168674698,3.095238095238095,6.831325301204819
-15.624999999999995,3.8915662650602405,-9.91071428571428,5.385542168674698,3.2440476190476204,6.831325301204819
-15.446428571428566,3.9156626506024095,-9.791666666666664,5.337349397590362,3.3630952380952372,6.807228915662651
-15.208333333333327,3.8915662650602405,-9.642857142857137,5.289156626506024,3.5119047619047628,6.783132530120482
-14.97023809523809,3.8915662650602405,-9.494047619047615,5.240963855421686,3.6904761904761934,6.759036144578314
-14.79166666666666,3.9156626506024095,-9.345238095238091,5.192771084337349,3.80952380952381,6.734939759036145
-14.73214285714285,3.939759036144578,,,3.9583333333333357,6.686746987951807
,,,,4.107142857142858,6.662650602409639
,,,,4.285714285714288,6.662650602409639
