Response1,,Response2,,Response3,,Pulses,
X,Y,X,Y,X,Y,X,Y
-15.424657534246547,0,-8.712328767123271,0.13186813186813207,-1.5068493150684894,0.09890109890109877,-15.45205479452052,-4.681318681318682
-15.12328767123285,0.0219780219780219,-8.438356164383546,0.1208791208791209,-1.3150684931506795,0.08791208791208804,-11.69863013698628,-4.7032967032967035
-14.821917808219151,0.04395604395604402,-8.191780821917792,0.09890109890109877,-1.0958904109589014,0.13186813186813207,-8.657534246575326,-2.0769230769230766
-14.520547945205454,0.13186813186813207,-7.999999999999984,0.16483516483516492,-0.9589041095890352,0.21978021978021967,-4.712328767123278,-2.1318681318681323
-14.2739726027397,0.20879120879120894,-7.780821917808204,0.23076923076923084,-0.7945205479452007,0.31868131868131866,-1.890410958904102,-2.1208791208791213
-13.999999999999975,0.2857142857142858,-7.561643835616422,0.3626373626373627,-0.657534246575338,0.4505494505494507,2.712328767123285,-2.0879120879120885
-13.753424657534222,0.32967032967032983,-7.397260273972588,0.4725274725274726,-0.5205479452054753,0.5604395604395604,,
-13.369863013698605,0.3626373626373627,-7.1232876712328626,0.5494505494505495,-0.38356164383561264,0.6703296703296704,,
-12.958904109589017,0.3626373626373627,-6.876712328767109,0.5714285714285716,-0.24657534246574997,0.8131868131868132,,
-12.575342465753401,0.37362637362637385,-6.520547945205468,0.5824175824175823,-0.08219178082191547,0.9010989010989011,,
-12.301369863013676,0.37362637362637385,-6.2191780821917675,0.5824175824175823,0.21917808219178525,0.9670329670329672,,
-12.082191780821894,0.39560439560439553,-5.835616438356155,0.5934065934065935,0.5205479452054824,0.9780219780219781,,
-12.082191780821894,0.39560439560439553,-5.506849315068482,0.5494505494505495,0.7945205479452078,0.9890109890109892,,
-11.91780821917806,0.39560439560439553,-5.123287671232866,0.5604395604395604,1.0684931506849296,0.9780219780219781,,
-11.643835616438334,0.39560439560439553,-4.876712328767113,0.5494505494505495,1.3424657534246585,0.9780219780219781,,
-11.424657534246554,0.37362637362637385,-4.684931506849303,0.5384615384615383,1.3424657534246585,0.9780219780219781,,
-11.232876712328746,0.31868131868131866,-4.356164383561634,0.4945054945054945,1.7260273972602747,0.9340659340659341,,
-11.04109589041094,0.2637362637362637,-4.10958904109588,0.43956043956043955,2.1917808219178063,0.9340659340659341,,
-10.821917808219158,0.2417582417582418,-3.8904109589040985,0.32967032967032983,2.383561643835616,0.9120879120879121,,
-10.520547945205461,0.20879120879120894,-3.5342465753424577,0.25274725274725296,2.6301369863013697,0.8901098901098903,,
-10.328767123287651,0.16483516483516492,-3.2328767123287605,0.20879120879120894,2.9589041095890387,0.8791208791208792,,
-9.999999999999982,0.1428571428571428,-2.794520547945197,0.1428571428571428,3.150684931506845,0.7472527472527474,,
-9.616438356164366,0.13186813186813207,-2.383561643835609,0.10989010989010994,3.3424657534246585,0.6263736263736264,,
-9.205479452054776,0.13186813186813207,-2.136986301369859,0.1208791208791209,3.534246575342465,0.5384615384615383,,
-8.82191780821916,0.10989010989010994,-1.8356164383561584,0.10989010989010994,3.7808219178082147,0.43956043956043955,,
,,-1.6164383561643767,0.09890109890109877,4.027397260273968,0.35164835164835173,,
,,,,4.356164383561637,0.27472527472527464,,
,,,,4.602739726027394,0.2417582417582418,,
,,,,4.9041095890410915,0.21978021978021967,,
