Steps,,Rise1,,Rise2,,Fall1,,Fall2,
X,Y,X,Y,X,Y,X,Y,X,Y
40.13452914798207,-70.414201183432,39.9103139013453,89.94082840236683,70.17937219730942,73.37278106508873,49.99999999999999,160.35502958579877,80.94170403587444,126.62721893491121
50.22421524663677,-71.00591715976338,40.582959641255606,91.12426035502955,70.85201793721973,73.96449704142009,50.89686098654709,160.35502958579877,81.39013452914799,122.48520710059171
70.40358744394618,-70.414201183432,40.80717488789238,93.49112426035501,71.07623318385649,76.92307692307688,51.121076233183864,158.57988165680473,81.61434977578475,117.75147928994079
80.94170403587444,-70.414201183432,41.031390134529154,98.2248520710059,71.07623318385649,80.47337278106505,51.5695067264574,156.21301775147927,81.8385650224215,113.01775147928993
,,41.255605381165914,105.32544378698222,71.30044843049328,84.61538461538458,51.5695067264574,150.88757396449702,82.28699551569505,106.50887573964494
,,41.47982062780269,110.65088757396447,71.52466367713004,88.16568047337273,51.79372197309417,144.37869822485203,82.28699551569505,99.99999999999997
,,41.70403587443946,117.75147928994079,71.7488789237668,92.89940828402362,52.017937219730946,139.64497041420117,82.7354260089686,91.7159763313609
,,41.92825112107624,130.76923076923075,71.7488789237668,97.04142011834318,52.24215246636772,131.95266272189346,83.18385650224215,84.02366863905323
,,42.37668161434977,139.05325443786978,71.97309417040358,101.77514792899404,52.46636771300448,123.66863905325442,83.85650224215246,73.37278106508873
,,42.600896860986545,146.74556213017752,72.19730941704034,107.1005917159763,52.690582959641254,115.38461538461536,84.52914798206277,66.27218934911241
,,43.04932735426009,153.8461538461538,72.64573991031389,113.60946745562129,52.91479820627803,107.1005917159763,85.42600896860986,62.721893491124206
,,43.27354260089685,158.57988165680473,73.09417040358744,119.52662721893486,53.36322869955156,100.59171597633133,86.32286995515696,59.17159763313606
,,43.49775784753363,161.53846153846155,73.3183856502242,123.66863905325442,53.58744394618834,92.89940828402362,87.89237668161437,57.988165680473344
,,43.946188340807176,162.72189349112426,73.76681614349775,125.4437869822485,54.260089686098645,85.20710059171594,89.46188340807174,57.396449704141986
,,44.618834080717484,160.94674556213016,74.66367713004482,126.03550295857985,55.15695067264573,77.51479289940823,91.03139013452915,57.988165680473344
,,45.291479820627806,159.17159763313606,75.56053811659194,125.4437869822485,55.82959641255605,73.37278106508873,91.92825112107622,57.396449704141986
,,46.18834080717489,157.98816568047334,77.13004484304932,126.03550295857985,57.17488789237668,71.59763313609463,,
,,47.309417040358746,159.17159763313606,78.69955156950672,126.62721893491121,57.84753363228699,69.82248520710056,,
,,48.4304932735426,159.76331360946745,80.26905829596413,126.62721893491121,59.64125560538117,69.2307692307692,,
,,49.55156950672646,159.76331360946745,,,61.21076233183856,69.2307692307692,,
,,50.22421524663677,160.35502958579877,,,63.22869955156951,71.00591715976327,,
,,,,,,64.79820627802692,73.37278106508873,,
,,,,,,65.69506726457399,75.1479289940828,,
,,,,,,67.04035874439461,75.1479289940828,,
,,,,,,68.16143497757847,72.18934911242599,,
,,,,,,69.50672645739911,73.37278106508873,,
,,,,,,70.85201793721973,73.96449704142009,,
